Unnamed: 0,data,gtin,ncm,des_item_norm,unidade,valor_unit_liq,qtd_geral_item,qtd_reg_consolid,volume_financeiro
34930,2024-12-21,7898136970341,2071422,FILE PEITO FRG P 1KG,UN,25.95,1.0,1,25.95
34936,2024-12-21,7894904015108,2071422,FILE PEITO FGO SEARA,BDJ9,20.9,684.0,163,14295.599999999999
34977,2024-05-07,7894904015849,2071400,FILEZINHO SAS SEARA BAND 1KG,KG,23.75,1.0,1,23.75
34983,2024-05-08,7898223661015,2071400,COXINHAS DAS ASAS TEMPERADAS AVIGRO,UN,18.95,2.0,1,37.9
34997,2024-05-11,7893000482401,2071400,FILE PEITO SADIA,BDJ9,21.9,4.0,1,87.6
35004,2024-05-14,7894904015849,2071400,FILEZINHO FGO SEARA,BDJ9,19.9,36.0,8,716.4
35006,2024-05-14,7894904197712,2071400,SOBRECOX SEARA 1KG UN,UN,12.49,7.0,5,87.43
35034,2024-05-26,7893000005945,2071400,FILE PEITO FRANGO SA,UNID,19.73,1.0,1,19.73
35124,2024-06-27,7891515539122,2032900,COST SUINA SAD KG KG,KG,22.96,629.0,1,14441.84
35140,2024-07-02,7893000482401,2071400,FILE PEIT BDJ 1KG SD,UN,23.99,3.0,3,71.97
35143,2024-07-03,7894904769889,2071400,FGO PADARIA SEARA,PCT9,13.9,9.0,6,125.10000000000001
35153,2024-07-06,7894904013180,2071400,SOBRECOXA SEARA CONGELADA BANDEJA,UN,13.84,1.0,1,13.84
35157,2024-07-08,7898302280687,2023000,CARNE MUSCULO FRIBOI BOVINO RESFRIADO KG,KG1,22.55,848.0,1,19122.4
35186,2024-07-17,7894904015108,2071400,FILE PEITO SEARA 1KG,UN0001,24.99,6.0,6,149.94
35212,2024-07-28,7894904013180,2071400,SOBRECOXA SEARA BDJ 1KG,UN,12.75,9.0,9,114.75
35257,2024-08-13,7894904015108,2071422,FILE PEITO SEARA BDJ 1KG,UN,21.99,59.0,47,1297.4099999999999
35281,2024-08-22,7894904197712,2071412,SCOXA SEARA 1KG,PC,12.5,78.0,36,975.0
35301,2024-08-26,7894904015108,2071100,SEARA FILE PEITO FGO BDJ 1KG,Kg,24.16,1.0,1,24.16
35311,2024-08-31,7898223661015,2071412,COXINHA DA ASA TEMPERADAS AVIGRO 1KG,KG,15.75,4.0,1,63.0
35323,2024-09-04,7893000482401,2071422,FILE PEITO SADIA,BDJ9,23.9,1.0,1,23.9
35358,2024-09-12,7894904197712,2071412,SOBRECOXA FGO SEARA IQF 1KG,UN,13.99,10.0,9,139.9
35364,2024-09-13,7891164018221,2071422,FILEZ PEI FGO AURORA BD1KG PROM,UN,19.89,153.0,138,3043.17
35373,2024-09-17,7898302291195,2071210,FIGADO KG KG 1 000,KG,14.99,8589.0,9,128749.11
35405,2024-09-28,7894351165739,2102000,CARNE BOVINA CHARQUE PA,KG,38.99,0.3901,1,15.209999000000002
35428,2024-10-03,7894904015108,2071422,FILE DE PEITO BDJ SEARA 1KG,UN,26.9,3.0,2,80.69999999999999
35442,2024-10-07,7898136973793,2071210,FRANGO CONGELADO 1KG,KG,9.4,38735.0,12,364109.0
35474,2024-10-15,7894904015849,2071300,FILEZINHO SEARA PEITO BDJ 1KG,UN,22.49,1.0,1,22.49
35476,2024-10-15,7894904197712,2071419,SOBRECOXA FGO SEARA IQF 1KG,UN,12.99,14.0,12,181.86
35489,2024-10-17,7891515021382,2101100,PE SUINO SALGADO KG,KG,12.39,0.4342,1,5.379738
35532,2024-10-31,7893000482401,2071300,FILE DE PEITO SADIA BDJ 1KG,UN,27.99,5.0,5,139.95
